Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_pkr,city,experience_years
Sales Executive,"PKR. 35,000 - 100,000/Month",Full Time/Permanent,"Jaranwala Road, 
                                                                                                                                                                                                                                                                                                            Faisalabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,17-Jan-25,Fresh,Intermediate/A-Level,No Preference,,"Communication Skills, Telemarketing  Skills, Sales Management, Fluent in English",67500.0,Jaranwala Road,
Truck Dispatcher,"PKR. 30,000 - 45,000/Month",Full Time/Permanent,"Architect Society, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,18-Jan-25,,Intermediate/A-Level,Male,,"Email List Management, Dispatch Skills, Coordination Skills",37500.0,Architect Society,
Customers Sales Representative,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Bahria Town Rawalpindi, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,18-Jan-25,,Intermediate/A-Level,Female,,"Sales Management, Sales Automation, Coordination Skills",35000.0,Bahria Town Rawalpindi,
Business Development Executive,"PKR. 40,000 - 80,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,18-Jan-25,Fresh,Intermediate/A-Level,No Preference,,"Coordination Skills, Communication Skills, Negotiations Skills",60000.0,Islamabad,
Sales Development Representative,"PKR. 50,000 - 100,000/Month",Full Time/Permanent,"Wapda Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,18-Jan-25,,Bachelors,Male,,"Communication Skills, Sales Generation, CRM",75000.0,Wapda Town,
Customer Services Representative - Spanish,"PKR. 60,000 - 175,000/Month",Full Time/Permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,18-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,,"Fluent in English, Customer Interaction Management, Customer Care Representation",117500.0,DHA,1.0
Civil Engineer,"PKR. 50,000 - 250,000/Month",Full Time/Permanent,"Gulshan Ravi, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Experienced Professional,15-Jan-25,5 Years,Masters,No Preference,,"AutoCAD, Microsoft Office, Civil Design Knowledge",150000.0,Gulshan Ravi,5.0
Customer Support Executive,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,14-Jan-25,1 Year,Bachelors,No Preference,,"Fluent in English, Ingredient Management, Customer Service",65000.0,Lahore,1.0
Compliance Executive,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,18-Jan-25,2 Years,Intermediate/A-Level,No Preference,,"Analytical Skills, Fluent in English, Audits and Investigations",,Karachi,2.0
Recruiter,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Entry Level,18-Jan-25,1 Year,Intermediate/A-Level,No Preference,18 - 35 Years,"Pressure Management, HR Policy Management, Employee Relationship Management",55000.0,Karachi,1.0
Team Lead Operations,"PKR. 70,000 - 90,000/Month",Full Time/Permanent,"Civil Lines, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,18-Jan-25,2 Years,Intermediate/A-Level,No Preference,,"Team Management Skills, Leadership Skills, Communication Skills",80000.0,Civil Lines,2.0
,,,,,,,,,,,,,,
Sales Engineer – Battery Energy Storage Systems,,Full Time/Permanent,"Model Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,15-Jan-25,3 Years,Bachelors,No Preference,,"Customer Analysis, End to End Sales, Electrical Products, Customer Satisfaction Management, Electrical Contracting",,Model Town,3.0
Lathe Machine Operator,"PKR. 90,000 - 250,000/Month",Full Time/Permanent,"Quaid-e-Azam Industrial Estate, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Experienced Professional,15-Jan-25,3 Years,Certification,No Preference,,"Coordination Skills, Teething Machine, Communication Skills, Milling Machine",,Quaid-e-Azam Industrial Estate,3.0
Videographer,,Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,1-Jan-25,3 Years,Bachelors,No Preference,,"Graphics Editing, Commercial Videos Knowledge, Video Editing Techniques",,Islamabad,3.0
Call Center Agent – Outbound,"PKR. 60,000 - 80,000/Month",Full Time/Permanent,"Gulberg, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,15-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Communication Skills, Fluent in English, Coordination Skills",70000.0,Gulberg,1.0
SEO Specialist,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,15-Jan-25,,Bachelors,No Preference,,"SEO, Search Engines Submission, SEO Engine Ranking",65000.0,Islamabad,
Videographer,,Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,1-Jan-25,3 Years,Bachelors,No Preference,,"Graphics Editing, Commercial Videos Knowledge, Video Editing Techniques",,Islamabad,3.0
Registered Nurse,"PKR. 300,000 - 450,000/Month",Full Time/Permanent,"Abu Dhabi,
                                                                                                                                                                                                                                                                                            United Arab Emirates",Health & Medicine,Entry Level,14-Jan-25,Less than 1 Year,Bachelors,Female,,"Healthcare Professional, Patient Counseling, Monitor Patient Condition",,Abu Dhabi,1.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data Analyst,"PKR. 60,000 - 80,000/Month",Full Time/Permanent,"Korangi Industrial Area, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,14-Jan-25,,Bachelors,Male,,"NumPy, Pandas, Python, Power BI",70000.0,Korangi Industrial Area,
,,,,,,,,,,,,,,
Accounts Assistant,"PKR. 40,000 - 45,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,14-Jan-25,1 Year (Relevant experience will be preferred.),Bachelors,No Preference,,"Taxation Knowledge, Accounts Administration, Sales Tax Command",42500.0,Lahore,1.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procurement Executive - Pharmaceutical Raw Materials,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Procurement,Experienced Professional,14-Jan-25,3 Years (Relevant Experience in Pharmaceutical industry),Bachelors,Male,,"Pricing Negotiation Skills, Communication Skills, Proactive Leadership",65000.0,Lahore,3.0
Sales Representative,"PKR. 20,000 - 30,000/Month",Full Time/Permanent,"Clifton, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,14-Jan-25,Fresh,Intermediate/A-Level,No Preference,,"Communication Skills, Coordination Skills, Sales Management",25000.0,Clifton,
,,,,,,,,,,,,,,
Data Analyst,"PKR. 60,000 - 80,000/Month",Full Time/Permanent,"Korangi Industrial Area, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,14-Jan-25,,Bachelors,Male,,"NumPy, Pandas, Python, Power BI",70000.0,Korangi Industrial Area,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Product Manager,"PKR. 50,000 - 70,000/Month",Full Time/Permanent,"Township, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Product Management,Experienced Professional,14-Jan-25,,,Male,,"Product Analysis, Product Marketing, Product Management, Communication Skills",60000.0,Township,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sales Support Coordinator,"PKR. 30,000 - 60,000/Month",Full Time/Permanent,"Wapda Employees Coop Society, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,14-Jan-25,1 Year,Bachelors,No Preference,,"Multitasking Skills, Coordination Skills, Communication Skills, MS Excel, Microsoft Word, Microsoft Outlook",45000.0,Wapda Employees Coop Society,1.0
Lawyer,"PKR. 80,000 - 100,000/Month",Full Time/Permanent,"Bahria Town Lahore, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Legal Affairs,Experienced Professional,13-Jan-25,,Bachelors,Male,32 - 40 Years,"Coordination Skills, Communication Skills, Legal Affair Handling",90000.0,Bahria Town Lahore,
Accounts Officer,"PKR. 70,000 - 90,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,13-Jan-25,,Bachelors,Male,,"Accounts Management, Bookkeeping Knowledge, Financial Accounting",80000.0,Lahore,
Sales Support Coordinator,"PKR. 30,000 - 60,000/Month",Full Time/Permanent,"Wapda Employees Coop Society, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,14-Jan-25,1 Year,Bachelors,No Preference,,"Sales Management, Retail Sales, Client Acquisition Skills",45000.0,Wapda Employees Coop Society,1.0
Accounts Officer,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Ghuinke, 
                                                                                                                                                                                                                                                                                                            Sialkot,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,14-Jan-25,,Bachelors,Female,,"Accounts Software Command, Accounts Adminstration, Accounts Payments Handling",35000.0,Ghuinke,
Sales Executive,"PKR. 30,000 - 35,000/Month",Full Time/Permanent,"Gujar Khan,
                                                                                                                                                                                                                                                                                                                                                                                        Hari Pur,
                                                                                                                                                                                                                                                                                                                                                                                        Khair Pur Mir,
                                                                                                                                                                                                                                                                                                                                                                                        Mansehra,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,14-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,,"Sales Management, Customer Relationship Management, Market Research, Communication Skills",32500.0,Gujar Khan,1.0
Video Editor,"PKR. 25,000 - 60,000/Month",Full Time/Permanent,"Remote,
                                                                                                                                                                                                                                                                                            Canada",Creative Design,Entry Level,14-Jan-25,,Non-Matriculation,No Preference,,"Video Editing Techniques, Adobe Photo Shop, Canva",42500.0,Remote,
Product Manager - Dermatology,,Full Time/Permanent,"Faisalabad,
                                                                                                                                                                                                                                                                                            Pakistan",Product Management,Entry Level,13-Jan-25,,Pharm-D,No Preference,,"Communication Skills, Multitasking Skills, Analytical Skills, Market Research",,Faisalabad,
Registered Nurse,"PKR. 300,000 - 450,000/Month",Full Time/Permanent,"Abu Dhabi,
                                                                                                                                                                                                                                                                                            United Arab Emirates",Health & Medicine,Entry Level,14-Jan-25,Less than 1 Year,Bachelors,Female,,"Healthcare Professional, Patient Counseling, Monitor Patient Condition",,Abu Dhabi,1.0
,,,,,,,,,,,,,,
HR Assistant,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Entry Level,14-Jan-25,1 Year (Must have experience of Hospital HR),Bachelors,Male,,"Employee Relation Management, HR Policy Formulation, Communication Skills",,Karachi,1.0
,,,,,,,,,,,,,,
Sales Representative,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,14-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Communication Skills, Retail Sales, Sales Management, Target Orientation Skills",65000.0,Hyderabad,1.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Admin / HR Officer,"PKR. 60,000 - 80,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Gharo,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,31-Dec-24,3 Years (Minimum 3 years  of Experience in Admin and HR Field),Bachelors,No Preference,,"Administrative Management, Vendor Relations Management, Record Keeping, Compliance Management, Payroll Process, HR Information Management",70000.0,Karachi,3.0
Branch Internal Auditor,,Full Time/Permanent,"P.E.C.H.S, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,31-Dec-24,,Masters,No Preference,23 - 32 Years,"Interpersonal Skills, Communication Skills, Internal Audit",,P.E.C.H.S,
Manager Product Development,"PKR. 150,000 - 175,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Product Development,Experienced Professional,1-Jan-25,,Bachelors,No Preference,,"Communication Skills, Product Development Process, Leadership Skills",,Islamabad,
Assistant Accountant,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Kot Abdul Malik, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,13-Jan-25,,,Male,22 - 40 Years,"Accounts Management Skills, Accounts Software Command, MS Office, Coordination Skills",37500.0,Kot Abdul Malik,
Retail Sales Executive,"PKR. 45,000 - 50,000/Month",Full Time/Permanent,"Gujranwala,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,14-Jan-25,,Bachelors,Male,,"Retail  Knowledge, Retail Product Management, Sales Coordination, Retail Products Knowledge, Sales Management, Communication Skills",47500.0,Gujranwala,
Business Development Executive,"PKR. 50,000 - 90,000/Month",Full Time/Permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,1-Jan-25,,Bachelors,No Preference,,"Market Research, B2B Business Development, Project Management, Business Development Strategies",70000.0,DHA,
Team Lead - Call Center,"PKR. 80,000 - 90,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Entry Level,12-Jan-25,1 Year,Bachelors,No Preference,,"Communication Skills, Training Development, Team Learning",85000.0,Lahore,1.0
Admin Executive,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Experienced Professional,14-Jan-25,2 Years,Bachelors,Male,,"Time Management, Communication Skills, Project Administration, Administrative Management, Admin Task Planning",65000.0,Lahore,2.0
Admin / Inventory Control Assistant,"PKR. 35,000 - 50,000/Month",Full Time/Permanent,"Shadman, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Entry Level,14-Jan-25,Fresh,Bachelors,Female,,"Problem Solving Skills, Admin Tasks Management, Communication Skills",42500.0,Shadman,
Export Incharge,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"I.I Chundrigar Road, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Import & Export,Experienced Professional,14-Jan-25,2 Years,Bachelors,Male,,"Export  Operations Management, Inventory Control Management, Communication Skills",55000.0,I.I Chundrigar Road,2.0
Marketing Coordinator,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,5-Jan-25,4 Years,Bachelors,Male,25 - 40 Years,"Digital Marketing Analysis, Market Research, Communication Skills, Coordination Skills",55000.0,Lahore,4.0
Customer Support Representative,"PKR. 50,000 - 70,000/Month",Full Time/Permanent,"Gulshan Ravi, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,14-Jan-25,,Bachelors,No Preference,,"Customer Handling, Communication Skills, Customer Satisfaction Management",60000.0,Gulshan Ravi,
Executive Assistant to the CEO,"PKR. 50,000 - 125,000/Month",Full Time/Permanent,"Bahria Town Rawalpindi, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Entry Level,14-Jan-25,Fresh,Bachelors,No Preference,,"Admin Task Management, MS Excel, Documents Management",87500.0,Bahria Town Rawalpindi,
